F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,num_train_epochs,created_time
72.3722,84.4961,72.9784,78.6,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,0,100,2024-12-11-16-46-02
80.3506,78.5739,80.305,78.51,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,100,2024-12-11-19-01-55
9.8976,84.5238,34.773,73.9,labeled_1,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-15-33-16
27.5431,51.1066,32.2558,44.9,labeled_1,ADB,bert,0.75,1.0,CrossEntropyLoss,0,1,2024-12-12-16-08-50
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-17-37-02
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-17-48-15
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-17-56-11
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-18-34-10
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-18-43-25
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-18-54-20
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-19-03-32
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-19-30-20
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-19-41-18
38.3172,58.9338,38.8459,51.3,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,1,2024-12-12-20-08-56
80.3506,78.5739,80.305,78.51,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,100,2024-12-12-22-23-12
32.6283,0.5517,21.9361,21.2,labeled_1,ADB,bert,0.5,1.0,CrossEntropyLoss,0,5,2024-12-13-03-50-31
74.1122,28.0,66.4268,62.67,labeled_6,ADB,bert,0.75,1.0,CrossEntropyLoss,0,100,2025-02-18-16-37-30
0.0,85.3319,2.8444,74.42,labeled_7,ADB,bert,1.0,1.0,CrossEntropyLoss,0,100,2025-02-22-18-16-22
